cancer_classification,YEAR,Age_Group,M,F,TOTAL
"All cancers but non-melanoma skin (C00-96, but C44)",1953,N0_4,61,50,111
"All cancers but non-melanoma skin (C00-96, but C44)",1953,N5_9,45,29,74
"All cancers but non-melanoma skin (C00-96, but C44)",1953,N10_14,22,22,44
"All cancers but non-melanoma skin (C00-96, but C44)",1953,N15_19,27,22,49
"All cancers but non-melanoma skin (C00-96, but C44)",1953,N20_24,55,40,95
"All cancers but non-melanoma skin (C00-96, but C44)",1953,N25_29,80,120,200
"All cancers but non-melanoma skin (C00-96, but C44)",1953,N30_34,108,215,323
"All cancers but non-melanoma skin (C00-96, but C44)",1953,N35_39,163,399,562
"All cancers but non-melanoma skin (C00-96, but C44)",1953,N40_44,254,612,866
"All cancers but non-melanoma skin (C00-96, but C44)",1953,N45_49,385,794,1179
"All cancers but non-melanoma skin (C00-96, but C44)",1953,N50_54,560,864,1424
"All cancers but non-melanoma skin (C00-96, but C44)",1953,N55_59,808,1087,1895
"All cancers but non-melanoma skin (C00-96, but C44)",1953,N60_64,960,1032,1992
"All cancers but non-melanoma skin (C00-96, but C44)",1953,N65_69,1168,1121,2289
"All cancers but non-melanoma skin (C00-96, but C44)",1953,N70_74,1225,1072,2297
"All cancers but non-melanoma skin (C00-96, but C44)",1953,N75_79,1107,954,2061
"All cancers but non-melanoma skin (C00-96, but C44)",1953,N80_84,593,559,1152
"All cancers but non-melanoma skin (C00-96, but C44)",1953,N85+,304,345,649
"All cancers but non-melanoma skin (C00-96, but C44)",1953,N_UNK,0,0,0
"All cancers but non-melanoma skin (C00-96, but C44)",1954,N0_4,51,54,105
"All cancers but non-melanoma skin (C00-96, but C44)",1954,N5_9,27,31,58
"All cancers but non-melanoma skin (C00-96, but C44)",1954,N10_14,35,40,75
"All cancers but non-melanoma skin (C00-96, but C44)",1954,N15_19,42,37,79
"All cancers but non-melanoma skin (C00-96, but C44)",1954,N20_24,61,38,99
"All cancers but non-melanoma skin (C00-96, but C44)",1954,N25_29,55,98,153
"All cancers but non-melanoma skin (C00-96, but C44)",1954,N30_34,106,194,300
"All cancers but non-melanoma skin (C00-96, but C44)",1954,N35_39,152,308,460
"All cancers but non-melanoma skin (C00-96, but C44)",1954,N40_44,245,536,781
"All cancers but non-melanoma skin (C00-96, but C44)",1954,N45_49,388,764,1152
"All cancers but non-melanoma skin (C00-96, but C44)",1954,N50_54,587,931,1518
"All cancers but non-melanoma skin (C00-96, but C44)",1954,N55_59,868,990,1858
"All cancers but non-melanoma skin (C00-96, but C44)",1954,N60_64,1075,1039,2114
"All cancers but non-melanoma skin (C00-96, but C44)",1954,N65_69,1277,1137,2414
"All cancers but non-melanoma skin (C00-96, but C44)",1954,N70_74,1285,1119,2404
"All cancers but non-melanoma skin (C00-96, but C44)",1954,N75_79,1086,980,2066
"All cancers but non-melanoma skin (C00-96, but C44)",1954,N80_84,625,578,1203
"All cancers but non-melanoma skin (C00-96, but C44)",1954,N85+,289,359,648
"All cancers but non-melanoma skin (C00-96, but C44)",1954,N_UNK,0,0,0
"All cancers but non-melanoma skin (C00-96, but C44)",1955,N0_4,61,40,101
"All cancers but non-melanoma skin (C00-96, but C44)",1955,N5_9,38,37,75
"All cancers but non-melanoma skin (C00-96, but C44)",1955,N10_14,31,23,54
"All cancers but non-melanoma skin (C00-96, but C44)",1955,N15_19,36,24,60
"All cancers but non-melanoma skin (C00-96, but C44)",1955,N20_24,58,45,103
"All cancers but non-melanoma skin (C00-96, but C44)",1955,N25_29,83,85,168
"All cancers but non-melanoma skin (C00-96, but C44)",1955,N30_34,94,218,312
"All cancers but non-melanoma skin (C00-96, but C44)",1955,N35_39,166,431,597
"All cancers but non-melanoma skin (C00-96, but C44)",1955,N40_44,233,550,783
"All cancers but non-melanoma skin (C00-96, but C44)",1955,N45_49,385,805,1190
"All cancers but non-melanoma skin (C00-96, but C44)",1955,N50_54,614,942,1556
"All cancers but non-melanoma skin (C00-96, but C44)",1955,N55_59,901,1142,2043
"All cancers but non-melanoma skin (C00-96, but C44)",1955,N60_64,1110,1128,2238
"All cancers but non-melanoma skin (C00-96, but C44)",1955,N65_69,1242,1184,2426
"All cancers but non-melanoma skin (C00-96, but C44)",1955,N70_74,1243,1140,2383
"All cancers but non-melanoma skin (C00-96, but C44)",1955,N75_79,1106,987,2093
"All cancers but non-melanoma skin (C00-96, but C44)",1955,N80_84,727,671,1398
"All cancers but non-melanoma skin (C00-96, but C44)",1955,N85+,292,361,653
"All cancers but non-melanoma skin (C00-96, but C44)",1955,N_UNK,0,0,0
"All cancers but non-melanoma skin (C00-96, but C44)",1956,N0_4,71,52,123
"All cancers but non-melanoma skin (C00-96, but C44)",1956,N5_9,29,27,56
"All cancers but non-melanoma skin (C00-96, but C44)",1956,N10_14,34,32,66
"All cancers but non-melanoma skin (C00-96, but C44)",1956,N15_19,38,22,60
"All cancers but non-melanoma skin (C00-96, but C44)",1956,N20_24,57,43,100
"All cancers but non-melanoma skin (C00-96, but C44)",1956,N25_29,70,97,167
"All cancers but non-melanoma skin (C00-96, but C44)",1956,N30_34,128,216,344
"All cancers but non-melanoma skin (C00-96, but C44)",1956,N35_39,155,409,564
"All cancers but non-melanoma skin (C00-96, but C44)",1956,N40_44,238,552,790
"All cancers but non-melanoma skin (C00-96, but C44)",1956,N45_49,401,863,1264
"All cancers but non-melanoma skin (C00-96, but C44)",1956,N50_54,623,950,1573
"All cancers but non-melanoma skin (C00-96, but C44)",1956,N55_59,938,1139,2077
"All cancers but non-melanoma skin (C00-96, but C44)",1956,N60_64,1200,1154,2354
