cancer_classification,SEX_CHARACTER,YEAR,Age_Group,Cases_by_Age,TOTAL
"All cancers but non-melanoma skin (C00-96, but C44)",M,1953,N0_4,61,7925
"All cancers but non-melanoma skin (C00-96, but C44)",M,1954,N0_4,51,8254
"All cancers but non-melanoma skin (C00-96, but C44)",M,1955,N0_4,61,8420
"All cancers but non-melanoma skin (C00-96, but C44)",M,1956,N0_4,71,8817
"All cancers but non-melanoma skin (C00-96, but C44)",M,1957,N0_4,61,9134
"All cancers but non-melanoma skin (C00-96, but C44)",M,1958,N0_4,62,9534
"All cancers but non-melanoma skin (C00-96, but C44)",M,1959,N0_4,55,10121
"All cancers but non-melanoma skin (C00-96, but C44)",M,1960,N0_4,71,10219
"All cancers but non-melanoma skin (C00-96, but C44)",M,1961,N0_4,65,10747
"All cancers but non-melanoma skin (C00-96, but C44)",M,1962,N0_4,60,10784
"All cancers but non-melanoma skin (C00-96, but C44)",M,1963,N0_4,65,11343
"All cancers but non-melanoma skin (C00-96, but C44)",M,1964,N0_4,69,11696
"All cancers but non-melanoma skin (C00-96, but C44)",M,1965,N0_4,65,12185
"All cancers but non-melanoma skin (C00-96, but C44)",M,1966,N0_4,81,12181
"All cancers but non-melanoma skin (C00-96, but C44)",M,1967,N0_4,94,12899
"All cancers but non-melanoma skin (C00-96, but C44)",M,1968,N0_4,74,13536
"All cancers but non-melanoma skin (C00-96, but C44)",M,1969,N0_4,77,13633
"All cancers but non-melanoma skin (C00-96, but C44)",M,1970,N0_4,92,14092
"All cancers but non-melanoma skin (C00-96, but C44)",M,1971,N0_4,374,86250
"All cancers but non-melanoma skin (C00-96, but C44)",M,1972,N0_4,369,87562
"All cancers but non-melanoma skin (C00-96, but C44)",M,1973,N0_4,375,92969
"All cancers but non-melanoma skin (C00-96, but C44)",M,1974,N0_4,345,95502
"All cancers but non-melanoma skin (C00-96, but C44)",M,1975,N0_4,347,97010
"All cancers but non-melanoma skin (C00-96, but C44)",M,1976,N0_4,330,97861
"All cancers but non-melanoma skin (C00-96, but C44)",M,1977,N0_4,320,103432
"All cancers but non-melanoma skin (C00-96, but C44)",M,1978,N0_4,350,114917
"All cancers but non-melanoma skin (C00-96, but C44)",M,1979,N0_4,323,119293
"All cancers but non-melanoma skin (C00-96, but C44)",M,1980,N0_4,360,122434
"All cancers but non-melanoma skin (C00-96, but C44)",M,1981,N0_4,340,124652
"All cancers but non-melanoma skin (C00-96, but C44)",M,1982,N0_4,353,125797
"All cancers but non-melanoma skin (C00-96, but C44)",M,1983,N0_4,522,163988
"All cancers but non-melanoma skin (C00-96, but C44)",M,1984,N0_4,544,165084
"All cancers but non-melanoma skin (C00-96, but C44)",M,1985,N0_4,516,171676
"All cancers but non-melanoma skin (C00-96, but C44)",M,1986,N0_4,478,172508
"All cancers but non-melanoma skin (C00-96, but C44)",M,1987,N0_4,577,180991
"All cancers but non-melanoma skin (C00-96, but C44)",M,1988,N0_4,691,204669
"All cancers but non-melanoma skin (C00-96, but C44)",M,1989,N0_4,791,234680
"All cancers but non-melanoma skin (C00-96, but C44)",M,1990,N0_4,815,239188
"All cancers but non-melanoma skin (C00-96, but C44)",M,1991,N0_4,794,243715
"All cancers but non-melanoma skin (C00-96, but C44)",M,1992,N0_4,767,252589
"All cancers but non-melanoma skin (C00-96, but C44)",M,1993,N0_4,833,265552
"All cancers but non-melanoma skin (C00-96, but C44)",M,1994,N0_4,806,281542
"All cancers but non-melanoma skin (C00-96, but C44)",M,1995,N0_4,821,282510
"All cancers but non-melanoma skin (C00-96, but C44)",M,1996,N0_4,792,288948
"All cancers but non-melanoma skin (C00-96, but C44)",M,1997,N0_4,780,293415
"All cancers but non-melanoma skin (C00-96, but C44)",M,1998,N0_4,893,326093
"All cancers but non-melanoma skin (C00-96, but C44)",M,1999,N0_4,872,336862
"All cancers but non-melanoma skin (C00-96, but C44)",M,2000,N0_4,860,343550
"All cancers but non-melanoma skin (C00-96, but C44)",M,2001,N0_4,852,349912
"All cancers but non-melanoma skin (C00-96, but C44)",M,2002,N0_4,906,356396
"All cancers but non-melanoma skin (C00-96, but C44)",M,2003,N0_4,912,392012
"All cancers but non-melanoma skin (C00-96, but C44)",M,2004,N0_4,909,408926
"All cancers but non-melanoma skin (C00-96, but C44)",M,2005,N0_4,877,409788
"All cancers but non-melanoma skin (C00-96, but C44)",M,2006,N0_4,916,421450
"All cancers but non-melanoma skin (C00-96, but C44)",M,2007,N0_4,883,432515
"All cancers but non-melanoma skin (C00-96, but C44)",M,2008,N0_4,922,442143
"All cancers but non-melanoma skin (C00-96, but C44)",M,2009,N0_4,968,455932
"All cancers but non-melanoma skin (C00-96, but C44)",M,2010,N0_4,999,460898
"All cancers but non-melanoma skin (C00-96, but C44)",M,2011,N0_4,998,470812
"All cancers but non-melanoma skin (C00-96, but C44)",M,2012,N0_4,958,475115
"All cancers but non-melanoma skin (C00-96, but C44)",M,2013,N0_4,1043,497075
"All cancers but non-melanoma skin (C00-96, but C44)",M,2014,N0_4,1025,501541
"All cancers but non-melanoma skin (C00-96, but C44)",M,2015,N0_4,1064,510250
"All cancers but non-melanoma skin (C00-96, but C44)",M,2016,N0_4,996,518720
"All cancers but non-melanoma skin (C00-96, but C44)",M,2017,N0_4,1055,498383
"All cancers but non-melanoma skin (C00-96, but C44)",F,1953,N0_4,50,9337
"All cancers but non-melanoma skin (C00-96, but C44)",F,1954,N0_4,54,9233
"All cancers but non-melanoma skin (C00-96, but C44)",F,1955,N0_4,40,9813
"All cancers but non-melanoma skin (C00-96, but C44)",F,1956,N0_4,52,10049
"All cancers but non-melanoma skin (C00-96, but C44)",F,1957,N0_4,48,9999
"All cancers but non-melanoma skin (C00-96, but C44)",F,1958,N0_4,42,10605
"All cancers but non-melanoma skin (C00-96, but C44)",F,1959,N0_4,57,10957
"All cancers but non-melanoma skin (C00-96, but C44)",F,1960,N0_4,48,11219
"All cancers but non-melanoma skin (C00-96, but C44)",F,1961,N0_4,46,11409
"All cancers but non-melanoma skin (C00-96, but C44)",F,1962,N0_4,57,11681
"All cancers but non-melanoma skin (C00-96, but C44)",F,1963,N0_4,50,11923
"All cancers but non-melanoma skin (C00-96, but C44)",F,1964,N0_4,57,12446
"All cancers but non-melanoma skin (C00-96, but C44)",F,1965,N0_4,57,12589
"All cancers but non-melanoma skin (C00-96, but C44)",F,1966,N0_4,60,12982
"All cancers but non-melanoma skin (C00-96, but C44)",F,1967,N0_4,49,13311
"All cancers but non-melanoma skin (C00-96, but C44)",F,1968,N0_4,72,13854
"All cancers but non-melanoma skin (C00-96, but C44)",F,1969,N0_4,66,13937
"All cancers but non-melanoma skin (C00-96, but C44)",F,1970,N0_4,45,14348
"All cancers but non-melanoma skin (C00-96, but C44)",F,1971,N0_4,306,82794
"All cancers but non-melanoma skin (C00-96, but C44)",F,1972,N0_4,276,84854
"All cancers but non-melanoma skin (C00-96, but C44)",F,1973,N0_4,288,89179
"All cancers but non-melanoma skin (C00-96, but C44)",F,1974,N0_4,267,93656
"All cancers but non-melanoma skin (C00-96, but C44)",F,1975,N0_4,249,94159
"All cancers but non-melanoma skin (C00-96, but C44)",F,1976,N0_4,288,94815
"All cancers but non-melanoma skin (C00-96, but C44)",F,1977,N0_4,298,98966
"All cancers but non-melanoma skin (C00-96, but C44)",F,1978,N0_4,241,111092
"All cancers but non-melanoma skin (C00-96, but C44)",F,1979,N0_4,262,113410
"All cancers but non-melanoma skin (C00-96, but C44)",F,1980,N0_4,277,118042
"All cancers but non-melanoma skin (C00-96, but C44)",F,1981,N0_4,275,120648
"All cancers but non-melanoma skin (C00-96, but C44)",F,1982,N0_4,310,122262
"All cancers but non-melanoma skin (C00-96, but C44)",F,1983,N0_4,424,157827
"All cancers but non-melanoma skin (C00-96, but C44)",F,1984,N0_4,418,159234
"All cancers but non-melanoma skin (C00-96, but C44)",F,1985,N0_4,392,166556
"All cancers but non-melanoma skin (C00-96, but C44)",F,1986,N0_4,407,167836
"All cancers but non-melanoma skin (C00-96, but C44)",F,1987,N0_4,496,175768
"All cancers but non-melanoma skin (C00-96, but C44)",F,1988,N0_4,533,194962
"All cancers but non-melanoma skin (C00-96, but C44)",F,1989,N0_4,618,224251
"All cancers but non-melanoma skin (C00-96, but C44)",F,1990,N0_4,661,227736
"All cancers but non-melanoma skin (C00-96, but C44)",F,1991,N0_4,622,232385
"All cancers but non-melanoma skin (C00-96, but C44)",F,1992,N0_4,619,240396
"All cancers but non-melanoma skin (C00-96, but C44)",F,1993,N0_4,656,249416
"All cancers but non-melanoma skin (C00-96, but C44)",F,1994,N0_4,725,263228
"All cancers but non-melanoma skin (C00-96, but C44)",F,1995,N0_4,641,263756
"All cancers but non-melanoma skin (C00-96, but C44)",F,1996,N0_4,683,268998
"All cancers but non-melanoma skin (C00-96, but C44)",F,1997,N0_4,589,276716
"All cancers but non-melanoma skin (C00-96, but C44)",F,1998,N0_4,695,307067
"All cancers but non-melanoma skin (C00-96, but C44)",F,1999,N0_4,722,316880
"All cancers but non-melanoma skin (C00-96, but C44)",F,2000,N0_4,671,319633
"All cancers but non-melanoma skin (C00-96, but C44)",F,2001,N0_4,674,323373
"All cancers but non-melanoma skin (C00-96, but C44)",F,2002,N0_4,750,326265
