time,observed,linear_trend,quadratic_trend,detrended_linear
2007,1590155,1613785.3636363635,1579535.74825175,-23630.36363636353
2008,1633154,1643154.927272727,1629455.0811188836,-10000.927272727014
2009,1677703,1672524.4909090905,1674807.7986014017,5178.5090909095015
2010,1700972,1701894.054545454,1715593.9006993042,-922.0545454539824
2011,1736545,1731263.6181818177,1751813.3874125914,5281.381818182301
2012,1752191,1760633.1818181812,1783466.2587412626,-8442.181818181183
2013,1824721,1790002.7454545447,1810552.5146853183,34718.25454545533
2014,1848966,1819372.3090909082,1833072.1552447588,29593.69090909185
2015,1875078,1848741.8727272716,1851025.1804195833,26336.127272728365
2016,1899646,1878111.4363636351,1864411.5902097924,21534.56363636488
2017,1827834,1907480.9999999986,1873231.3846153857,-79646.9999999986
